rank,u,v,snap_t,y,logreg__S,logreg__S+T,logreg__S+T+C,rf__S,rf__S+T,rf__S+T+C
102,2045,3722,48,1,0.9986914,0.9993988,0.99948144,0.8988342,0.87561685,0.8198319
103,1352,3744,48,0,0.9992606,0.9994181,0.9994453,0.86610484,0.87832916,0.819428
104,3722,2187,48,0,0.98265356,0.9931734,0.99268275,0.9030848,0.81104195,0.8177009
105,3640,905,49,0,0.7041676,0.8097887,0.78809935,0.55913043,0.89551777,0.81765795
106,3988,2028,48,0,0.9815805,0.7493417,0.83320105,0.9069525,0.77233475,0.81734776
107,2388,5508,49,0,0.88651335,0.9335302,0.9437308,0.55490786,0.8676756,0.81694
108,2045,2017,49,0,0.99984497,0.9995206,0.9996368,0.96698225,0.80528593,0.81684244
109,3722,5551,49,0,0.9974717,0.99736696,0.9981268,0.6768314,0.80988973,0.816781
110,4532,1352,49,0,0.47564986,0.7737601,0.71628857,0.62980014,0.94475573,0.8136776
111,2045,5476,49,0,0.9570068,0.9717833,0.967661,0.74917185,0.81614536,0.8123088
112,2045,3903,49,0,0.9390193,0.98005235,0.97792435,0.93607575,0.8305671,0.8121368
113,2934,2942,49,0,0.92985135,0.9780255,0.98074627,0.33375868,0.85417414,0.8089099
114,2942,3722,49,0,0.9879732,0.990438,0.98965377,0.75301135,0.8788162,0.80692273
115,4532,2942,49,0,0.5661778,0.8293852,0.8239175,0.32806146,0.915838,0.80606407
116,3722,2028,48,0,0.95442915,0.8729059,0.88565826,0.8786537,0.81684774,0.8055826
117,3988,2187,48,0,0.8622541,0.90391815,0.8810789,0.89878875,0.76910484,0.80546445
118,4649,5712,48,0,0.5910553,0.81721544,0.7875757,0.57713515,0.86062765,0.8042149
119,3722,4531,49,0,0.8255434,0.9422561,0.9509746,0.47574285,0.82159853,0.804197
120,2045,4279,49,0,0.95644397,0.9614982,0.9630803,0.91812193,0.8067986,0.80338806
121,4649,1352,49,0,0.9901671,0.9957496,0.99457055,0.7957613,0.8582932,0.8026194
122,2388,5654,49,0,0.99695295,0.9902697,0.9914056,0.95249104,0.8259584,0.8025465
123,2045,25,49,0,0.99943215,0.9988891,0.9992602,0.9230592,0.8315484,0.8020864
124,3988,1383,48,0,0.9940773,0.9920067,0.99208456,0.913817,0.8796861,0.80175024
125,3897,2045,49,0,0.99991953,0.9999623,0.9999102,0.8724464,0.8261527,0.8011531
126,3722,2017,49,0,0.9874744,0.982857,0.98301184,0.8941895,0.79976815,0.7998199
127,1352,3988,48,0,0.99613816,0.9992649,0.9992884,0.81122696,0.81551945,0.79755086
128,3722,4668,49,0,0.74244463,0.91637343,0.92990166,0.49840838,0.8249271,0.7973823
129,4365,3722,48,0,0.9792636,0.9924653,0.9909914,0.63463145,0.85577774,0.7951362
130,3451,4595,48,0,0.48963982,0.7817165,0.7845128,0.47367448,0.8436546,0.7932903
131,3722,4595,48,0,0.7388344,0.95163816,0.9375808,0.30735356,0.7542125,0.79285395
132,1352,2498,49,0,0.99453306,0.99208975,0.9919173,0.93132454,0.80172056,0.79011744
133,2045,3699,49,0,0.808964,0.9524599,0.9494093,0.6194643,0.79863447,0.78950477
134,4532,1656,49,0,0.64174575,0.8903596,0.8290657,0.71384716,0.84322417,0.788876
135,5525,905,48,0,0.7690969,0.9006893,0.88233334,0.4084439,0.8324131,0.7876875
136,1352,3744,49,0,0.99950284,0.9987621,0.9989608,0.8558226,0.7786409,0.7834939
137,3640,25,48,0,0.83714086,0.90452856,0.86118704,0.56655216,0.854439,0.782385
138,5508,5712,49,0,0.46901938,0.7094871,0.62365085,0.48095804,0.75300467,0.78231084
139,4172,4519,48,0,0.94889843,0.9682881,0.9666678,0.8208333,0.81833595,0.7812497
140,1352,4686,49,0,0.75064504,0.8968214,0.91866255,0.57485133,0.80792433,0.78017664
141,1352,4681,49,0,0.7471455,0.8909197,0.9156271,0.5632875,0.81210977,0.7801687
142,1352,4675,49,0,0.5486682,0.8158175,0.8478425,0.58560216,0.8074081,0.7801687
143,5508,135,48,0,0.81525636,0.8227574,0.7771766,0.7289194,0.7626105,0.77970266
144,1352,3699,49,0,0.6839673,0.84945565,0.8307123,0.5296691,0.77211344,0.7789709
145,3722,5476,49,0,0.72886735,0.8516046,0.80659884,0.5071569,0.7695592,0.77828294
146,1018,905,49,0,0.99994427,0.9964037,0.9960579,0.9317915,0.85455656,0.7774968
147,2942,5712,49,0,0.833676,0.88880545,0.88852185,0.7276811,0.85935056,0.7745727
148,3451,3722,49,0,0.9718927,0.97608054,0.9742988,0.9331363,0.8509504,0.7717734
149,1352,2017,49,0,0.982784,0.9679797,0.9728357,0.91119486,0.7294127,0.7716018
150,4649,5712,49,0,0.5818313,0.8109204,0.78303975,0.6537951,0.8341393,0.77154076
151,2045,5227,49,0,0.9205267,0.94689405,0.9356496,0.7763761,0.79578936,0.7708774
152,3640,3903,48,0,0.4890625,0.66953576,0.5536927,0.77876127,0.87285876,0.7702924
153,2934,6,49,0,0.9377284,0.9790741,0.9741137,0.64466256,0.7867804,0.7700293
154,2045,4694,49,0,0.98373836,0.96141076,0.96195066,0.91818035,0.85073924,0.7697467
155,3451,135,49,0,0.97247666,0.96127313,0.942606,0.8936403,0.83411825,0.76845133
156,3722,5227,48,0,0.9436946,0.9841714,0.97799957,0.73061264,0.83314586,0.7678855
157,3451,62,48,0,0.784297,0.7685957,0.7219385,0.7910341,0.8178704,0.7672371
158,361,905,49,0,0.9998173,0.9989791,0.9989241,0.88204515,0.8242906,0.76680255
159,3451,2498,48,0,0.97958267,0.97115976,0.9751765,0.91874456,0.8311669,0.76650923
160,4532,5508,49,0,0.551957,0.86234057,0.8082596,0.48503327,0.9174757,0.7664126
161,3649,2045,49,0,0.88429326,0.95512736,0.9280242,0.67326033,0.7999285,0.7660614
162,3451,4519,48,0,0.53529733,0.8280981,0.8253852,0.4000071,0.76215774,0.7655242
163,3988,5712,49,0,0.9990672,0.99894845,0.99884844,0.9153284,0.83528936,0.7651295
164,3722,481,49,0,0.9476573,0.9860909,0.9803707,0.91214395,0.8112356,0.76503104
165,2658,2045,49,0,0.55014837,0.950492,0.9403654,0.88111556,0.81521857,0.7642823
166,4172,135,48,0,0.98345625,0.90737903,0.8971323,0.9296992,0.8001604,0.76415807
167,3988,5472,48,0,0.998829,0.99090236,0.9914852,0.90691006,0.7007563,0.76387435
168,1352,4531,49,0,0.7660971,0.9080288,0.9296294,0.5384558,0.84268326,0.7631022
169,3640,481,48,0,0.85132766,0.86507106,0.7829904,0.8339829,0.86365145,0.7629624
170,3988,5551,48,0,0.90283376,0.98088825,0.97574115,0.32313606,0.75089496,0.7629543
171,3988,5754,48,0,0.9812809,0.99446845,0.99057454,0.50136185,0.8471862,0.7628183
172,3707,4519,48,0,0.8622904,0.95119077,0.93155026,0.56786865,0.8081488,0.76192534
173,3451,2388,49,0,0.965885,0.824731,0.76469225,0.82387125,0.8276037,0.7617274
174,3707,5551,48,0,0.9164542,0.97252196,0.97933245,0.5710243,0.79843813,0.7614421
175,3722,1185,48,0,0.9407601,0.95893544,0.96398115,0.8344612,0.7544325,0.7610342
176,3451,6,48,0,0.51154214,0.76669705,0.7187363,0.74707925,0.79557115,0.76081675
177,2658,905,49,0,0.9445852,0.9390433,0.94294363,0.8892656,0.820506,0.76066643
178,361,3722,49,0,0.9976412,0.99890435,0.99901915,0.8433243,0.8413917,0.76041615
179,4649,2045,48,0,0.9734301,0.9795486,0.96848804,0.6520844,0.8249407,0.76003313
180,4291,905,48,0,1.0,0.99999505,0.9999904,0.9155665,0.8522977,0.7583201
181,3722,3988,48,0,0.9999867,0.99999166,0.9999885,0.82372,0.83190745,0.7577931
182,3451,5801,48,0,0.9910834,0.9978137,0.99675393,0.7060994,0.8742549,0.7572931
183,1352,4668,49,0,0.6935046,0.88165706,0.9095492,0.5594575,0.84442616,0.756685
184,1565,5712,48,0,0.9504508,0.9532587,0.9481859,0.92612046,0.8042412,0.7564162
185,4365,2045,48,0,0.9146849,0.9158958,0.87400997,0.5340167,0.83623475,0.7559257
186,3707,135,48,0,0.9484396,0.93571,0.9221474,0.745371,0.81329226,0.7558799
187,4291,5712,48,0,0.99931604,0.9971714,0.99632436,0.5813406,0.8218556,0.75523585
188,3722,3719,49,0,0.89594597,0.9657414,0.9620411,0.8994793,0.76349473,0.7552336
189,3722,2063,48,0,0.8339763,0.9555482,0.9445077,0.6438138,0.75131065,0.7550987
190,2388,5476,48,0,0.8569831,0.9291953,0.9271541,0.57791805,0.8027166,0.75509167
191,3722,3988,49,0,0.9999973,0.99999636,0.9999955,0.82996905,0.765794,0.754747
192,2934,1334,49,0,0.98587835,0.97901064,0.9751794,0.52432704,0.77010435,0.7546744
193,3722,5227,49,0,0.948186,0.960228,0.94754744,0.72428524,0.7835348,0.7544324
194,2934,25,49,0,0.92390466,0.9522493,0.9441411,0.63550717,0.7592889,0.75441825
195,3988,5363,48,0,0.7607055,0.77321994,0.7774837,0.9150948,0.708705,0.75423896
196,5508,4519,48,0,0.72548,0.9100092,0.8770492,0.50224096,0.778639,0.75380015
197,1352,5227,48,0,0.5914841,0.9099788,0.89688516,0.60644066,0.79421,0.7531142
198,1352,481,49,0,0.9205184,0.9599948,0.9516197,0.9573099,0.7427442,0.7523736
199,481,2045,49,0,0.904636,0.9937976,0.9902923,0.79820824,0.83469754,0.7520015
200,3722,5472,48,0,0.99984884,0.9996526,0.9995274,0.9650257,0.79980165,0.7519904
