t,end_ts_t,end_ts_next,raw_node_count,core_node_count,candidate_count,positive_labels,negative_labels,positive_rate,raw_newneg_next_window,core_retained_pos,candidate_retained_pos,eligible_for_split,in_split_pool
31,2013-06-30 23:59:59.999999999+00:00,2013-07-31 23:59:59.999999999+00:00,4379,1188,200000,31,199969,0.000155,168,83,31,True,True
32,2013-07-31 23:59:59.999999999+00:00,2013-08-31 23:59:59.999999999+00:00,4511,1190,200000,5,199995,2.5e-05,697,48,5,True,True
33,2013-08-31 23:59:59.999999999+00:00,2013-09-30 23:59:59.999999999+00:00,4720,1266,200000,8,199992,4e-05,47,17,8,True,True
34,2013-09-30 23:59:59.999999999+00:00,2013-10-31 23:59:59.999999999+00:00,4787,1210,200000,11,199989,5.5e-05,34,17,11,True,True
35,2013-10-31 23:59:59.999999999+00:00,2013-11-30 23:59:59.999999999+00:00,4877,1025,200000,9,199991,4.5e-05,94,21,9,True,True
36,2013-11-30 23:59:59.999999999+00:00,2013-12-31 23:59:59.999999999+00:00,5006,1027,200000,16,199984,8e-05,245,37,16,True,True
37,2013-12-31 23:59:59.999999999+00:00,2014-01-31 23:59:59.999999999+00:00,5161,1033,200000,5,199995,2.5e-05,69,8,5,True,True
38,2014-01-31 23:59:59.999999999+00:00,2014-02-28 23:59:59.999999999+00:00,5253,992,200000,10,199990,5e-05,103,29,10,True,True
39,2014-02-28 23:59:59.999999999+00:00,2014-03-31 23:59:59.999999999+00:00,5347,836,200000,16,199984,8e-05,67,27,16,True,True
40,2014-03-31 23:59:59.999999999+00:00,2014-04-30 23:59:59.999999999+00:00,5391,778,194348,24,194324,0.00012348982238047213,79,30,24,True,True
41,2014-04-30 23:59:59.999999999+00:00,2014-05-31 23:59:59.999999999+00:00,5452,762,186397,20,186377,0.00010729786423601238,50,24,20,True,True
42,2014-05-31 23:59:59.999999999+00:00,2014-06-30 23:59:59.999999999+00:00,5498,652,143605,21,143584,0.00014623446258835,45,23,21,True,True
43,2014-06-30 23:59:59.999999999+00:00,2014-07-31 23:59:59.999999999+00:00,5554,586,119561,14,119547,0.00011709503935229715,38,16,14,True,True
44,2014-07-31 23:59:59.999999999+00:00,2014-08-31 23:59:59.999999999+00:00,5593,558,114482,41,114441,0.0003581349033035761,92,46,41,True,True
45,2014-08-31 23:59:59.999999999+00:00,2014-09-30 23:59:59.999999999+00:00,5643,530,110818,21,110797,0.00018949990073814722,41,23,21,True,True
46,2014-09-30 23:59:59.999999999+00:00,2014-10-31 23:59:59.999999999+00:00,5683,492,98937,9,98928,9.096697898662786e-05,20,14,9,True,True
47,2014-10-31 23:59:59.999999999+00:00,2014-11-30 23:59:59.999999999+00:00,5708,449,85711,7,85704,8.166979734223146e-05,13,8,7,True,True
48,2014-11-30 23:59:59.999999999+00:00,2014-12-31 23:59:59.999999999+00:00,5731,424,78040,23,78017,0.0002947206560738083,53,23,23,True,True
49,2014-12-31 23:59:59.999999999+00:00,2015-01-31 23:59:59.999999999+00:00,5753,390,70599,11,70588,0.00015580957237354637,22,13,11,True,True
50,2015-01-31 23:59:59.999999999+00:00,2015-02-28 23:59:59.999999999+00:00,5770,370,64454,2,64452,3.102988177615043e-05,9,2,2,False,False
51,2015-02-28 23:59:59.999999999+00:00,2015-03-31 23:59:59.999999999+00:00,5795,322,49924,6,49918,0.00012018267767005849,9,6,6,False,False
52,2015-03-31 23:59:59.999999999+00:00,2015-04-30 23:59:59.999999999+00:00,5804,295,43917,0,43917,0.0,4,0,0,False,False
53,2015-04-30 23:59:59.999999999+00:00,2015-05-31 23:59:59.999999999+00:00,5814,266,38624,3,38621,7.767191383595692e-05,10,3,3,True,False
54,2015-05-31 23:59:59.999999999+00:00,2015-06-30 23:59:59.999999999+00:00,5832,266,38045,1,38044,2.6284662899198317e-05,6,1,1,False,False
55,2015-06-30 23:59:59.999999999+00:00,2015-07-31 23:59:59.999999999+00:00,5841,232,29767,0,29767,0.0,1,0,0,False,False
56,2015-07-31 23:59:59.999999999+00:00,2015-08-31 23:59:59.999999999+00:00,5850,203,23878,1,23877,4.1879554401541165e-05,9,1,1,False,False
57,2015-08-31 23:59:59.999999999+00:00,2015-09-30 23:59:59.999999999+00:00,5862,195,22217,3,22214,0.00013503173245712742,5,3,3,False,False
58,2015-09-30 23:59:59.999999999+00:00,2015-10-31 23:59:59.999999999+00:00,5867,177,19226,0,19226,0.0,0,0,0,False,False
59,2015-10-31 23:59:59.999999999+00:00,2015-11-30 23:59:59.999999999+00:00,5871,169,17437,0,17437,0.0,1,0,0,False,False
60,2015-11-30 23:59:59.999999999+00:00,2015-12-31 23:59:59.999999999+00:00,5875,121,9879,3,9876,0.0003036744609778318,6,3,3,False,False
61,2015-12-31 23:59:59.999999999+00:00,2016-01-31 23:59:59.999999999+00:00,5879,108,8009,1,8008,0.0001248595330253465,2,1,1,False,False
