u,v,snap_t,y,proba,cn,jaccard,aa,pa,pos_out_u,neg_out_u,pos_in_v,neg_in_v,pos_cn,neg_cn,reciprocity_flag,prior_interaction,mean_rating_given_u,mean_rating_received_v,neg_given_ratio_u,neg_received_ratio_v,days_since_last_activity_u,days_since_last_activity_v,days_since_last_uv_interaction,uv_interaction_count_past,recent_neg_given_u,recent_neg_received_v,recent_total_given_u,recent_total_received_v,decayed_neg_given_u,decayed_neg_received_v,decayed_total_activity_u,decayed_total_activity_v,same_community,cross_community_pair,community_size_u,community_size_v,community_size_diff_log,neighborhood_overlap,boundary_frac_u,boundary_frac_v
1352,2388,49,0,0.9384766282118288,26.0,0.0795107,5.9895334,31020.0,113.0,39.0,109.0,12.0,19.0,2.0,0.0,0.0,0.375,0.661157,0.25657895,0.09917355,8.176185,1.609764,9999.0,0.0,9.0,1.0,31.0,3.0,5.5194726,0.7838889,17.51558,3.2430627,0.0,1.0,182.0,572.0,1.1451323,0.0795107,0.453125,0.6785714
3722,135,48,1,0.9374517689433559,15.0,0.08064516,3.42681,9918.0,56.0,21.0,67.0,20.0,5.0,1.0,0.0,0.0,0.58441556,0.37931034,0.27272728,0.22988506,3.0999672,34.613117,9999.0,0.0,3.0,2.0,18.0,6.0,3.0324988,0.7576875,14.204444,2.7175841,0.0,1.0,177.0,926.0,1.6547245,0.08064516,0.32258064,0.46753246
1352,4519,48,0,0.9325532428039803,6.0,0.036585364,1.8120083,1896.0,109.0,37.0,8.0,3.0,2.0,0.0,0.0,0.0,0.37671232,1.2727273,0.25342464,0.27272728,3.248235,3.6048255,9999.0,0.0,9.0,1.0,30.0,2.0,6.7225657,1.1297231,22.293552,1.8693695,0.0,1.0,177.0,968.0,1.6990824,0.036585364,0.4796748,0.6666667
3640,2045,49,0,0.9309228746119561,11.0,0.05851064,3.4373744,7248.0,36.0,5.0,68.0,25.0,3.0,0.0,0.0,0.0,1.1707317,-0.86021507,0.12195122,0.26881722,6.0826316,1.157457,9999.0,0.0,2.0,6.0,11.0,17.0,1.4125493,4.9577475,6.600673,12.820522,0.0,1.0,182.0,1030.0,1.7333074,0.05851064,0.16666667,0.5483871
3988,4519,48,0,0.9306645606676216,6.0,0.030927835,1.3969362,2256.0,152.0,33.0,8.0,3.0,5.0,0.0,0.0,0.0,0.5297297,1.2727273,0.17837837,0.27272728,5.0541244,3.6048255,9999.0,0.0,7.0,1.0,24.0,2.0,4.125802,1.1297231,19.704142,1.8693695,1.0,0.0,968.0,968.0,0.0,0.030927835,0.2866242,0.6666667
2934,3722,49,0,0.9290337809857988,12.0,0.069767445,3.0695012,8460.0,37.0,38.0,30.0,12.0,3.0,0.0,0.0,0.0,-4.08,-0.54761904,0.50666666,0.2857143,0.0016500881,2.8444011,9999.0,0.0,21.0,1.0,22.0,9.0,20.729414,1.6914369,22.218569,5.8126802,0.0,1.0,962.0,182.0,1.6650077,0.069767445,0.58181816,0.3181818
2934,905,49,0,0.9266689120520872,31.0,0.082446806,7.699421,28530.0,37.0,38.0,223.0,38.0,19.0,10.0,0.0,0.0,-4.08,0.6015326,0.50666666,0.14559387,0.0016500881,17.540022,9999.0,0.0,21.0,5.0,22.0,6.0,20.729414,3.8600998,22.218569,4.784017,0.0,1.0,962.0,1030.0,0.06829963,0.082446806,0.58181816,0.54681647
3640,2045,48,0,0.92666875135244,6.0,0.033898305,1.7861205,6392.0,34.0,5.0,61.0,20.0,3.0,0.0,0.0,0.0,1.1794872,-0.9506173,0.12820514,0.24691358,0.06831921,3.248235,9999.0,0.0,3.0,1.0,11.0,6.0,2.3680403,1.1003888,8.34639,4.640682,0.0,1.0,177.0,926.0,1.6547245,0.033898305,0.14634146,0.5833333
1352,5712,48,0,0.9255914337326367,2.0,0.011299435,0.42075333,3318.0,109.0,37.0,14.0,6.0,0.0,1.0,0.0,0.0,0.37671232,0.6,0.25342464,0.3,3.248235,7.7740583,9999.0,0.0,9.0,5.0,30.0,13.0,6.7225657,2.207623,22.293552,6.699328,0.0,1.0,177.0,968.0,1.6990824,0.011299435,0.4796748,0.13333334
3451,3722,48,0,0.922410429082613,9.0,0.05357143,2.0309842,7830.0,72.0,11.0,29.0,11.0,5.0,0.0,0.0,0.0,0.30120483,-0.55,0.13253012,0.275,3.075151,3.0999672,9999.0,0.0,3.0,1.0,21.0,9.0,1.3103592,1.3805826,13.126286,7.130831,0.0,1.0,968.0,177.0,1.6990824,0.05357143,0.24390244,0.32258064
2934,135,49,0,0.9219469401532387,9.0,0.04522613,2.303402,10620.0,37.0,38.0,67.0,24.0,6.0,1.0,0.0,0.0,-4.08,0.2857143,0.50666666,0.26373628,0.0016500881,12.883144,9999.0,0.0,21.0,4.0,22.0,6.0,20.729414,3.6167665,22.218569,4.785856,0.0,1.0,962.0,1030.0,0.06829963,0.04522613,0.58181816,0.54545456
2942,2045,49,0,0.9193944896379732,23.0,0.09163347,5.649596,18573.0,111.0,7.0,68.0,25.0,16.0,0.0,1.0,0.0,1.398305,-0.86021507,0.059322033,0.26881722,1.1601237,1.157457,9999.0,0.0,1.0,6.0,6.0,17.0,0.67247874,4.9577475,4.4220033,12.820522,0.0,1.0,962.0,1030.0,0.06829963,0.092369474,0.26666668,0.5483871
3988,5654,48,0,0.9164792972807382,11.0,0.05670103,3.1293638,3196.0,152.0,33.0,1.0,8.0,7.0,0.0,0.0,0.0,0.5297297,-3.8888888,0.17837837,0.8888889,5.0541244,27.060785,9999.0,0.0,7.0,4.0,24.0,5.0,4.125802,2.158,19.704142,2.794923,1.0,0.0,968.0,968.0,0.0,0.05670103,0.2866242,0.33333334
2388,5712,49,0,0.9123725755953249,5.0,0.024390243,1.1730545,4136.0,125.0,50.0,15.0,6.0,3.0,1.0,0.0,0.0,-0.74857146,0.61904764,0.2857143,0.2857143,1.609764,2.88932,9999.0,0.0,2.0,3.0,5.0,7.0,1.7643778,1.3168594,4.627574,4.9491725,0.0,1.0,572.0,962.0,0.51987547,0.024390243,0.6785714,0.1875
2388,5712,48,0,0.9067250879124806,4.0,0.019704433,0.89014107,3906.0,124.0,49.0,14.0,6.0,2.0,1.0,0.0,0.0,-0.7109827,0.6,0.28323698,0.3,1.9233935,7.7740583,9999.0,0.0,1.0,5.0,6.0,13.0,1.8330882,2.207623,5.000996,6.699328,0.0,1.0,782.0,968.0,0.21337734,0.019704433,0.61870503,0.13333334
2934,2388,49,0,0.903086794931892,26.0,0.103174604,7.021597,16920.0,37.0,38.0,109.0,12.0,16.0,4.0,0.0,0.0,-4.08,0.661157,0.50666666,0.09917355,0.0016500881,1.609764,9999.0,0.0,21.0,1.0,22.0,3.0,20.729414,0.7838889,22.218569,3.2430627,0.0,1.0,962.0,572.0,0.51987547,0.103174604,0.58181816,0.6785714
4532,2045,49,0,0.902878811032257,7.0,0.03954802,1.5440028,4983.0,18.0,12.0,68.0,25.0,7.0,0.0,0.0,0.0,-2.1666667,-0.86021507,0.4,0.26881722,1.0760036,1.157457,9999.0,0.0,11.0,6.0,17.0,17.0,9.331637,4.9577475,13.255307,12.820522,0.0,1.0,962.0,1030.0,0.06829963,0.03954802,0.0952381,0.5483871
3722,5551,48,0,0.9014337978313941,5.0,0.056818184,2.0361543,522.0,56.0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,0.58441556,2.4,0.27272728,0.4,3.0999672,3.605136,9999.0,0.0,3.0,2.0,18.0,2.0,3.0324988,1.8833244,14.204444,1.9668406,1.0,0.0,177.0,177.0,0.0,0.056818184,0.32258064,0.5
3640,5712,49,0,0.8953574452159533,3.0,0.04477612,0.647488,1056.0,36.0,5.0,15.0,6.0,2.0,1.0,0.0,0.0,1.1707317,0.61904764,0.12195122,0.2857143,6.0826316,2.88932,9999.0,0.0,2.0,3.0,11.0,7.0,1.4125493,1.3168594,6.600673,4.9491725,0.0,1.0,182.0,962.0,1.6650077,0.04477612,0.16666667,0.1875
2045,5654,49,0,0.8947910614096883,3.0,0.018181818,0.73488367,2567.0,88.0,51.0,1.0,8.0,1.0,2.0,0.0,0.0,-1.5035971,-3.8888888,0.36690646,0.8888889,1.157457,58.060787,9999.0,0.0,5.0,3.0,20.0,4.0,4.5462284,1.287259,15.745461,1.6671872,0.0,1.0,1030.0,962.0,0.06829963,0.018181818,0.5483871,0.33333334
3722,5508,49,0,0.8933047893196094,17.0,0.15315315,4.4472055,3196.0,60.0,24.0,21.0,1.0,16.0,1.0,1.0,0.0,0.52380955,1.0454545,0.2857143,0.045454547,2.8444011,8.503977,9999.0,0.0,6.0,1.0,24.0,4.0,4.130986,0.867853,13.892516,3.8768516,1.0,0.0,182.0,182.0,0.0,0.1559633,0.3181818,0.3
3988,25,48,0,0.8930555585396514,25.0,0.09090909,5.949666,21056.0,152.0,33.0,88.0,24.0,18.0,0.0,0.0,0.0,0.5297297,2.625,0.17837837,0.21428572,5.0541244,26.226685,9999.0,0.0,7.0,1.0,24.0,2.0,4.125802,0.5270308,19.704142,1.658386,0.0,1.0,968.0,926.0,0.04435785,0.09090909,0.2866242,0.6136364
1352,5712,49,0,0.8918290100603227,2.0,0.010810811,0.41922703,3630.0,113.0,39.0,15.0,6.0,0.0,1.0,0.0,0.0,0.375,0.61904764,0.25657895,0.2857143,8.176185,2.88932,9999.0,0.0,9.0,3.0,31.0,7.0,5.5194726,1.3168594,17.51558,4.9491725,0.0,1.0,182.0,962.0,1.6650077,0.010810811,0.453125,0.1875
4532,3722,49,0,0.8889333926804849,3.0,0.024193548,0.72101885,3102.0,18.0,12.0,30.0,12.0,1.0,0.0,0.0,0.0,-2.1666667,-0.54761904,0.4,0.2857143,1.0760036,2.8444011,9999.0,0.0,11.0,1.0,17.0,9.0,9.331637,1.6914369,13.255307,5.8126802,0.0,1.0,962.0,182.0,1.6650077,0.024193548,0.0952381,0.3181818
3722,2942,49,0,0.8875039025886982,15.0,0.074257426,3.3085318,11562.0,60.0,24.0,108.0,2.0,8.0,0.0,0.0,0.0,0.52380955,2.0,0.2857143,0.018181818,2.8444011,1.1601237,9999.0,0.0,6.0,1.0,24.0,5.0,4.130986,0.671033,13.892516,4.482339,0.0,1.0,182.0,962.0,1.6650077,0.074257426,0.3181818,0.26666668
2934,1352,49,0,0.8873293030975744,9.0,0.036585364,2.1232002,14850.0,37.0,38.0,102.0,10.0,6.0,0.0,0.0,0.0,-4.08,1.8125,0.50666666,0.08928572,0.0016500881,8.176185,9999.0,0.0,21.0,1.0,22.0,9.0,20.729414,0.7589415,22.218569,6.245062,0.0,1.0,962.0,182.0,1.6650077,0.036585364,0.58181816,0.453125
1810,3722,49,0,0.886209256111442,15.0,0.030425964,3.3636017,38916.0,223.0,157.0,30.0,12.0,7.0,4.0,1.0,0.0,-2.5657895,-0.54761904,0.41315788,0.2857143,1.7291663,2.8444011,9999.0,0.0,2.0,1.0,8.0,9.0,1.2868762,1.6914369,5.943598,5.8126802,0.0,1.0,1030.0,182.0,1.7333074,0.030549899,0.43014705,0.3181818
2388,1352,49,0,0.8860916535795244,26.0,0.0795107,5.9895334,31020.0,125.0,50.0,102.0,10.0,19.0,2.0,0.0,0.0,-0.74857146,1.8125,0.2857143,0.08928572,1.609764,8.176185,9999.0,0.0,2.0,1.0,5.0,9.0,1.7643778,0.7589415,4.627574,6.245062,0.0,1.0,572.0,182.0,1.1451323,0.0795107,0.6785714,0.453125
1352,2498,48,0,0.8831356631223432,9.0,0.04712042,2.1639009,6636.0,109.0,37.0,8.0,34.0,1.0,4.0,0.0,0.0,0.37671232,-5.6666665,0.25342464,0.8095238,3.248235,68.241776,9999.0,0.0,9.0,1.0,30.0,1.0,6.7225657,0.66778475,22.293552,0.67017406,0.0,1.0,177.0,968.0,1.6990824,0.04712042,0.4796748,0.375
3640,5712,48,0,0.883122248960708,3.0,0.046153847,0.6490143,987.0,34.0,5.0,14.0,6.0,2.0,1.0,0.0,0.0,1.1794872,0.6,0.12820514,0.3,0.06831921,7.7740583,9999.0,0.0,3.0,5.0,11.0,13.0,2.3680403,2.207623,8.34639,6.699328,0.0,1.0,177.0,968.0,1.6990824,0.046153847,0.14634146,0.13333334
3640,905,48,0,0.8777013393990047,6.0,0.016853932,1.3857787,14805.0,34.0,5.0,222.0,34.0,4.0,0.0,0.0,0.0,1.1794872,0.71875,0.12820514,0.1328125,0.06831921,3.5965083,9999.0,0.0,3.0,2.0,11.0,2.0,2.3680403,1.8715212,8.34639,2.1773553,0.0,1.0,177.0,926.0,1.6547245,0.016853932,0.14634146,0.48120302
3878,5712,48,0,0.875237462527263,5.0,0.064935066,1.1939768,1281.0,48.0,5.0,14.0,6.0,2.0,0.0,0.0,0.0,0.5283019,0.6,0.094339624,0.3,3.5965083,7.7740583,9999.0,0.0,1.0,5.0,6.0,13.0,1.054292,2.207623,4.637377,6.699328,0.0,1.0,177.0,968.0,1.6990824,0.064935066,0.5263158,0.13333334
3451,5654,48,0,0.8750534210622232,4.0,0.03883495,1.0752617,1530.0,72.0,11.0,1.0,8.0,4.0,0.0,0.0,0.0,0.30120483,-3.8888888,0.13253012,0.8888889,3.075151,27.060785,9999.0,0.0,3.0,4.0,21.0,5.0,1.3103592,2.158,13.126286,2.794923,1.0,0.0,968.0,968.0,0.0,0.03883495,0.24390244,0.33333334
5508,2045,48,1,0.87456878787389,6.0,0.036809817,1.3962393,4488.0,25.0,3.0,61.0,20.0,4.0,1.0,0.0,0.0,0.10714286,-0.9506173,0.10714286,0.24691358,3.6182685,3.248235,9999.0,0.0,2.0,1.0,12.0,6.0,0.5889267,1.1003888,7.0297503,4.640682,0.0,1.0,177.0,926.0,1.6547245,0.036809817,0.3,0.5833333
4532,905,49,0,0.8734637513572513,8.0,0.023391813,1.90363,10461.0,18.0,12.0,223.0,38.0,8.0,0.0,0.0,0.0,-2.1666667,0.6015326,0.4,0.14559387,1.0760036,17.540022,9999.0,0.0,11.0,5.0,17.0,6.0,9.331637,3.8600998,13.255307,4.784017,0.0,1.0,962.0,1030.0,0.06829963,0.023391813,0.0952381,0.54681647
3722,481,48,0,0.8724372616288094,9.0,0.07258064,2.290119,4002.0,56.0,21.0,24.0,5.0,5.0,2.0,0.0,0.0,0.58441556,0.37931034,0.27272728,0.1724138,3.0999672,19.33221,9999.0,0.0,3.0,1.0,18.0,4.0,3.0324988,0.31559202,14.204444,2.1616795,0.0,1.0,177.0,968.0,1.6990824,0.07258064,0.32258064,0.4642857
1352,481,48,0,0.8718446806487896,8.0,0.040816326,1.8373032,7268.0,109.0,37.0,24.0,5.0,6.0,0.0,0.0,0.0,0.37671232,0.37931034,0.25342464,0.1724138,3.248235,19.33221,9999.0,0.0,9.0,1.0,30.0,4.0,6.7225657,0.31559202,22.293552,2.1616795,0.0,1.0,177.0,968.0,1.6990824,0.040816326,0.4796748,0.4642857
